Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
92,"H Bodory, L Camponovo, M Huber, ...","The finite sample performance of inference methods for propensity score matching and weighting estimators",2020,"Journal of Business & …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07350015.2018.1476247","https://scholar.google.com/scholar?cites=15413478903660600975&as_sdt=2005&sciodt=2007&hl=en",1,"2026-05-27 16:43:39","","10.1080/07350015.2018.1476247","",,,,,,92,15.33,23,4,6,"… This article investigates the finite sample properties of a … their performance in empirically founded Monte Carlo designs … a (due to the small sample size) noisy experimental estimate to …","https://www.econstor.eu/bitstream/10419/141465/1/dp9706.pdf","https://scholar.google.com/scholar?q=related:j96qFWat59UJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
15,"Y Yu, M Zhang, X Shi, MEV Caram, ...","A comparison of parametric propensity score‐based methods for causal inference with multiple treatments and a binary outcome",2021,"Statistics in …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.8862","https://scholar.google.com/scholar?cites=4947153205785576477&as_sdt=2005&sciodt=2007&hl=en",2,"2026-05-27 16:43:39","","10.1002/sim.8862","",,,,,,15,3.00,3,5,5,"… of IPW is the augmented inverse probability weighting (AIPW), … and reduce bias of some common weighting estimators (eg, … simulation studies to assess the finite sample properties of …","https://onlinelibrary.wiley.com/doi/am-pdf/10.1002/sim.8862","https://scholar.google.com/scholar?q=related:HcRIKKHRp0QJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"H Bodory, M Huber, M Lechner","The finite sample performance of instrumental variable-based estimators of the Local Average Treatment Effect when controlling for covariates",2024,"Computational Economics","Springer","https://link.springer.com/article/10.1007/s10614-023-10507-y","",3,"2026-05-27 16:43:39","","10.1007/s10614-023-10507-y","",,,,,,0,0.00,0,3,2,"… is included in the 95% confidence interval of a LATE estimator. … For propensity score matching, we base the weights on the … the finite sample properties of alternative LATE estimators. …","https://link.springer.com/content/pdf/10.1007/s10614-023-10507-y.pdf","https://scholar.google.com/scholar?q=related:ngaGrNhc99QJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"M Schnuerch, A Ocampo, KK Holst, C Stock","Assessing covariate-adjusted risk differences in small-sample clinical trials",2026,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2605.19772","",4,"2026-05-27 16:43:39","","","",,,,,,0,0.00,0,4,1,"… and variance estimation rather than small sample size alone. … and inverse probability of treatment weighting.These methods may … for evaluating the finite-sample properties of covariate-…","https://arxiv.org/pdf/2605.19772","https://scholar.google.com/scholar?q=related:4w_xV6rkaRgJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
154,"Y Zhou, RA Matsouaka, ...","Propensity score weighting under limited overlap and model misspecification",2020,"Statistical methods in …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0962280220940334","https://scholar.google.com/scholar?cites=525930304322036922&as_sdt=2005&sciodt=2007&hl=en",5,"2026-05-27 16:43:39","","10.1177/0962280220940334","",,,,,,154,25.67,51,3,6,"… In this paper, we conduct extensive simulation studies to … The traditional inverse probability weighting (IPW) assigns … of the treatment options), small sample size, and misspecifications of …","https://arxiv.org/pdf/2006.04038","https://scholar.google.com/scholar?q=related:umS6RdN6TAcJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
155,"M Huber, M Lechner, A Steinmayr","Radius matching on the propensity score with bias adjustment: tuning parameters and finite sample behaviour",2015,"Empirical Economics","Springer","https://link.springer.com/article/10.1007/s00181-014-0847-1","https://scholar.google.com/scholar?cites=12134835028390720131&as_sdt=2005&sciodt=2007&hl=en",6,"2026-05-27 16:43:39","","10.1007/s00181-014-0847-1","",,,,,,155,14.09,52,3,11,"… , we use normalized inverse probability weighting, which is … In addition, combining the small sample size with extreme … In this paper, we investigate the finite sample properties of a …","https://sonar.ch/documents/307638/files/radiusmatchingonthepropensityscorewithbiasadkustmenttuningparametersandfinitesamplebehaviour.pdf","https://scholar.google.com/scholar?q=related:gzIySyqYZ6gJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
25,"M Huber, M Lechner, A Steinmayr","Radius matching on the propensity score with bias adjustment: finite sample behaviour, tuning parameters and software implementation",2012,"","ux-tauri.unisg.ch","https://ux-tauri.unisg.ch/RePEc/usg/econwp/EWP-1226.pdf","https://scholar.google.com/scholar?cites=464953912598936477&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-27 16:43:39","BOOK","","",,,,,,25,1.79,8,3,14,"… tors (such as matching and inverse probability weighting). As … In addition, it is not possible to combine the small sample size … In this paper, we investigated the finite sample properties of …","https://ux-tauri.unisg.ch/RePEc/usg/econwp/EWP-1226.pdf","https://scholar.google.com/scholar?q=related:nTtjvR7ZcwYJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
18,"RA Matsouaka, Y Liu, Y Zhou","Variance estimation for the average treatment effects on the treated and on the controls",2023,"Statistical Methods in …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/09622802221142532","https://scholar.google.com/scholar?cites=1756289303651984597&as_sdt=2005&sciodt=2007&hl=en",8,"2026-05-27 16:43:39","","10.1177/09622802221142532","",,,,,,18,6.00,6,3,3,"… the fact they often lead to improved finite sample properties. … “tmle” and specified the propensity score and outcome models as … (intractable matrix derivation or small sample size), we …","https://arxiv.org/pdf/2209.10742","https://scholar.google.com/scholar?q=related:1aT-AtGXXxgJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
95,"N Kreif, K DiazOrdaz","Machine learning in policy evaluation: new tools for causal inference",2019,"arXiv preprint arXiv:1903.00402","arxiv.org","https://arxiv.org/abs/1903.00402","https://scholar.google.com/scholar?cites=14540934488538501898&as_sdt=2005&sciodt=2007&hl=en",9,"2026-05-27 16:43:39","","","",,,,,,95,13.57,48,2,7,"… the outcome regressions and the propensity score) which we review … propensity-score matching had superior performance to others: results of an empirical investigation and monte carlo …","https://arxiv.org/pdf/1903.00402","https://scholar.google.com/scholar?q=related:ClOQS-DGy8kJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
6,"X Meng, J Huang","REFINE2: a tool to evaluate real-world performance of machine-learning based effect estimators for molecular and clinical studies",2021,"arXiv preprint arXiv:2105.13148","arxiv.org","https://arxiv.org/abs/2105.13148","https://scholar.google.com/scholar?cites=17077034677719001521&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-27 16:43:39","","","",,,,,,6,1.20,3,2,5,"… individual observations by the inverse of their propensity score … Despite the relative small sample size cross-fit estimators … and robustness to finite-sample properties in every instance. …","https://arxiv.org/pdf/2105.13148","https://scholar.google.com/scholar?q=related:sel3to_Q_ewJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
