Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"A Polselli","Essays on econometric methods",2022,"","repository.essex.ac.uk","https://repository.essex.ac.uk/34481/","https://scholar.google.com/scholar?cites=5327144839877409996&as_sdt=2005&sciodt=2007&hl=en",11,"2026-05-27 16:43:39","","","",,,,,,1,0.25,1,1,4,"… the simultaneous presence of small sample size, leveraged data, … their finite sample properties with Monte Carlo simulations. I … We use propensity score matching, the Kitagawa-Blinder-…","https://repository.essex.ac.uk/34481/1/PhD_Thesis_Polselli_v2.pdf","https://scholar.google.com/scholar?q=related:zLzy5wHS7UkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
9,"N Bearth, M Lechner","Causal machine learning for moderation effects",2025,"Journal of Business &Economic Statistics","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07350015.2025.2479646","https://scholar.google.com/scholar?cites=17709957378649746367&as_sdt=2005&sciodt=2007&hl=en",12,"2026-05-27 16:43:39","","10.1080/07350015.2025.2479646","",,,,,,9,9.00,5,2,1,"… results of a small-scale Monte Carlo simulation. In Section 5, … that does not rely on the propensity score. We use the Auto-… already for the comparatively small sample size used in the …","https://www.tandfonline.com/doi/pdf/10.1080/07350015.2025.2479646","https://scholar.google.com/scholar?q=related:v-u5jWdoxvUJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
4,"A Flossmann","Accounting for missing data in M-estimation: a general matching approach",2010,"Empirical Economics","Springer","https://link.springer.com/article/10.1007/s00181-009-0257-y","https://scholar.google.com/scholar?cites=4458197540191348631&as_sdt=2005&sciodt=2007&hl=en",13,"2026-05-27 16:43:39","","10.1007/s00181-009-0257-y","",,,,,,4,0.25,4,1,16,"… local polynomial propensity score matching techniques which … In order to get insight into the finite sample properties of the … this might be due to the small sample size of the control group. …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=917326","https://scholar.google.com/scholar?q=related:lyeg0Qqz3j0J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"K Lee, A Ocampo, C Schiffman, M Friesenhahn, ...","Improving Variance Estimation for Covariate Adjustment with Binary Outcomes",2026,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2605.06655","",14,"2026-05-27 16:43:39","","","",,,,,,0,0.00,0,5,1,"… the finite sample properties in Section 3 via simulation … more challenging scenario: a small sample size of N = 50 with a … control trials where the propensity score is bounded away from 0 …","https://arxiv.org/pdf/2605.06655","https://scholar.google.com/scholar?q=related:haN-kqjOH0YJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
8,"B Augsburg","Econometric evaluation of the SEWA bank in India: applying matching techniques based on the propensity score",2006,"","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1095708","https://scholar.google.com/scholar?cites=14836582137327895470&as_sdt=2005&sciodt=2007&hl=en",15,"2026-05-27 16:43:39","","","",,,,,,8,0.40,8,1,20,"… to results from the small sample size - especially when … the last column (iv) displays the biascorrected confidence interval. … (2004), “Finite-sample properties of propensity-score matching …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1095708","https://scholar.google.com/scholar?q=related:rsNVqNgg5s0J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
2,"J Galdo","Evaluating the performance of non-experimental estimators: evidence from a randomized UI program",2004,"Econometric Society 2004 Latin American Meetings","fmwww.bc.edu","http://fmwww.bc.edu/repec/esLATM04/up.3447.1081349943.pdf","https://scholar.google.com/scholar?cites=12874031635392917857&as_sdt=2005&sciodt=2007&hl=en",16,"2026-05-27 16:43:39","PDF","","",,,,,,2,0.09,2,1,22,"… We estimate the propensity score using a kernel-based … Simple matching and propensity score matching are … is not possible because of the small sample size for many of them. Therefore…","http://fmwww.bc.edu/repec/esLATM04/up.3447.1081349943.pdf","https://scholar.google.com/scholar?q=related:YXG8FpC_qbIJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
3,"J Joo, R LaLonde","Testing for selection bias",2014,"","JSTOR","https://www.jstor.org/stable/pdf/resrep77375.pdf?acceptTC=true&coverpage=false&addFooter=false","https://scholar.google.com/scholar?cites=2331267309586745333&as_sdt=2005&sciodt=2007&hl=en",17,"2026-05-27 16:43:39","","","",,,,,,3,0.25,2,2,12,"… For example, we use the two-stage propensity score … This section examines the finite sample properties of the test … the finite sample properties of the bootstrap confidence interval can be …","https://www.econstor.eu/bitstream/10419/103488/1/dp8455.pdf","https://scholar.google.com/scholar?q=related:9QdmOERTWiAJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
2,"R Lu","Feature Selection for High Dimensional Causal Inference",2020,"","search.proquest.com","https://search.proquest.com/openview/1cdb1f87f7fa32b58f781896070627b1/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=11776054550585498225&as_sdt=2005&sciodt=2007&hl=en",18,"2026-05-27 16:43:39","BOOK","10.7916/d8-qy7x-dp76","",,,,,,2,0.33,2,1,6,"… : Results for the linear case with small sample size (N = 100) … it easier to condition the propensity score rather than all … focus more on bias rather than confidence interval coverage. …","https://academiccommons.columbia.edu/doi/10.7916/d8-qy7x-dp76/download","https://scholar.google.com/scholar?q=related:cVpFtzjzbKMJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
42,"M Plesca, J Smith","Evaluating multi-treatment programs: theory and evidence from the US Job Training Partnership Act experiment",2007,"Empirical Economics","Springer","https://link.springer.com/article/10.1007/s00181-006-0095-0","https://scholar.google.com/scholar?cites=13636116105686556429&as_sdt=2005&sciodt=2007&hl=en",19,"2026-05-27 16:43:39","","10.1007/s00181-006-0095-0","",,,,,,42,2.21,21,2,19,"… Despite our relatively small sample sizes, our findings … Fortunately, their Monte Carlo analysis suggests that use … matching on labor force status transition cells and propensity score …","https://www.academia.edu/download/125934624/Plesca_20and_20Smith_202007_20Empirical_20Economics.pdf","https://scholar.google.com/scholar?q=related:DR9u01k3Pb0J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
6,"F Su, W Mou, P Ding, MJ Wainwright","A decorrelation method for general regression adjustment in randomized experiments",2023,"arXiv preprint arXiv:2311.10076","arxiv.org","https://arxiv.org/abs/2311.10076","https://scholar.google.com/scholar?cites=5534757691056513877&as_sdt=2005&sciodt=2007&hl=en",20,"2026-05-27 16:43:39","","","",,,,,,6,2.00,2,4,3,"… intervals by averaging 100 independent Monte Carlo trials. … can remove bias to some extent, so that its confidence interval … a phase transition: with a small sample size (so that the typical …","https://arxiv.org/pdf/2311.10076","https://scholar.google.com/scholar?q=related:VeNIrctoz0wJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"X Chen, H Li, Z Xiao","Shrinkage estimation of censored quantile regression for panel data models with grouped latent heterogeneity",2025,"Econometric Reviews","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07474938.2025.2528901","",21,"2026-05-27 16:43:39","","10.1080/07474938.2025.2528901","",,,,,,0,0.00,0,3,1,"… A Monte Carlo simulation shows that the GFE-CQR estimator … models can reduce misspecification bias, it also undermines the … When the functional form of the true propensity score …","","https://scholar.google.com/scholar?q=related:nlctXf86Ml8J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"X Yang","Outcome-Adaptive Randomization and Optimization in Sequential Decision Making",2026,"","search.proquest.com","https://search.proquest.com/openview/30963a2fb0d2b8d3fbf52460e41b4ee9/1?pq-origsite=gscholar&cbl=18750&diss=y","",22,"2026-05-27 16:43:39","","","",,,,,,0,0.00,0,1,1,"… propensity score–based approaches such as stratification and … finite-sample properties of a doubly adaptive biased coin … For an 80% power, a small sample size (eg, n = 100) requires a …","","https://scholar.google.com/scholar?q=related:NYZ3dxoof5UJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
6,"YN Kleyman","Testing for covariate balance in comparative studies",2009,"","search.proquest.com","https://search.proquest.com/openview/69edb239e29806d494434fc217df8648/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=14754681912928780112&as_sdt=2005&sciodt=2007&hl=en",23,"2026-05-27 16:43:39","","","",,,,,,6,0.35,6,1,17,"… Such adjustments as propensity score matching and … the finite sample properties of propensity score matching and … We are further restricted by the small sample size in the study…","","https://scholar.google.com/scholar?q=related:UD8AsgYpw8wJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
11,"A Suzuki, K Igei","Does efficient provision of business development services yield better results for SMEs?: evidence from a networking project in Thailand",2019,"Journal of Development Effectiveness","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/19439342.2019.1638435","https://scholar.google.com/scholar?cites=3102892837126305896&as_sdt=2005&sciodt=2007&hl=en",24,"2026-05-27 16:43:39","","10.1080/19439342.2019.1638435","",,,,,,11,1.57,6,2,7,"… problem of a small sample size and publication bias. … , and inverse probability weighting regressions to correct for … For each SME, we then create the inverse of the propensity score of …","","https://scholar.google.com/scholar?q=related:aHgEdZiwDysJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"L Hu","Developing and Testing a New Method for Comparing More Than Two Treatments Using Electronic Health Records",2023,"","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/books/n/pcori10me2017c39041/?report=reader","",25,"2026-05-27 16:43:39","HTML","","",,,,,,0,0.00,0,1,3,"… in contrast to propensity score matching and subclassification, for … The relatively small sample size (400) in the first group, … to investigate the finite-sample properties of the proposed …","https://www.ncbi.nlm.nih.gov/books/n/pcori10me2017c39041/?report=reader","https://scholar.google.com/scholar?q=related:OGEdtoxezRsJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22%7C%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
