PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36045099","Model misspecification and bias for inverse probability weighting estimators of average causal effects","Waernbaum I, Pazzagli L.","Biom J. 2023 Feb;65(2):e2100118. doi: 10.1002/bimj.202100118. Epub 2022 Aug 31.","Waernbaum I","Biom J","2023","2022/08/31","PMC10087564","","10.1002/bimj.202100118"
"36126791","Logistic regression frequently outperformed propensity score methods, especially for large datasets: a simulation study","Wilkinson JD, Mamas MA, Kontopantelis E.","J Clin Epidemiol. 2022 Dec;152:176-184. doi: 10.1016/j.jclinepi.2022.09.009. Epub 2022 Sep 17.","Wilkinson JD","J Clin Epidemiol","2022","2022/09/20","","","10.1016/j.jclinepi.2022.09.009"
"36136044","Enhancing estimation methods for integrating probability and nonprobability survey samples with machine-learning techniques. An application to a Survey on the impact of the COVID-19 pandemic in Spain","Rueda MDM, Pasadas-Del-Amo S, Rodríguez BC, Castro-Martín L, Ferri-García R.","Biom J. 2023 Feb;65(2):e2200035. doi: 10.1002/bimj.202200035. Epub 2022 Sep 22.","Rueda MDM","Biom J","2023","2022/09/22","PMC9538074","","10.1002/bimj.202200035"
"36189475","Penalized Spline-Involved Tree-based (PenSIT) Learning for estimating an optimal dynamic treatment regime using observational data","Speth KA, Elliott MR, Marquez JL, Wang L.","Stat Methods Med Res. 2022 Dec;31(12):2338-2351. doi: 10.1177/09622802221122397. Epub 2022 Oct 3.","Speth KA","Stat Methods Med Res","2022","2022/10/03","","","10.1177/09622802221122397"
"36303136","Patient-reported outcomes following cemented versus cementless primary total knee arthroplasty: a comparative analysis based on propensity score matching","Ko H, Pelt CE, Martin BI; PEPPER Investigators; Pellegrini VD Jr.","BMC Musculoskelet Disord. 2022 Oct 27;23(1):934. doi: 10.1186/s12891-022-05899-1.","Ko H","BMC Musculoskelet Disord","2022","2022/10/28","PMC9608915","","10.1186/s12891-022-05899-1"
"36386506","Survival benefit of surgical resection for stage IV gastric cancer: A SEER-based propensity score-matched analysis","Sun J, Nan Q.","Front Surg. 2022 Oct 25;9:927030. doi: 10.3389/fsurg.2022.927030. eCollection 2022.","Sun J","Front Surg","2022","2022/11/17","PMC9640680","","10.3389/fsurg.2022.927030"
"36476035","Variance estimation for the average treatment effects on the treated and on the controls","Matsouaka RA, Liu Y, Zhou Y.","Stat Methods Med Res. 2023 Feb;32(2):389-403. doi: 10.1177/09622802221142532. Epub 2022 Dec 7.","Matsouaka RA","Stat Methods Med Res","2023","2022/12/08","","","10.1177/09622802221142532"
"36511448","Mimicking Clinical Trials Using Real-World Data: A Novel Method and Applications","Wang WJ, Bansal A, Bennette CS, Basu A.","Med Decis Making. 2023 Apr;43(3):275-287. doi: 10.1177/0272989X221141381. Epub 2022 Dec 13.","Wang WJ","Med Decis Making","2023","2022/12/13","","","10.1177/0272989X221141381"
"36577946","External control arm analysis: an evaluation of propensity score approaches, G-computation, and doubly debiased machine learning","Loiseau N, Trichelair P, He M, Andreux M, Zaslavskiy M, Wainrib G, Blum MGB.","BMC Med Res Methodol. 2022 Dec 28;22(1):335. doi: 10.1186/s12874-022-01799-z.","Loiseau N","BMC Med Res Methodol","2022","2022/12/28","PMC9795588","","10.1186/s12874-022-01799-z"
"38486638","Analysis of Familial Aggregation Using Recurrence Risk for Complex Survey Data","Wang C, Li Z, Graubard BI.","Biostat Epidemiol. 2023;7(1):e2062663. doi: 10.1080/24709360.2022.2062663. Epub 2022 May 5.","Wang C","Biostat Epidemiol","2023","2024/03/15","PMC10939038","NIHMS1970263","10.1080/24709360.2022.2062663"
"36609282","A comparison of covariate adjustment approaches under model misspecification in individually randomized trials","Tackney MS, Morris T, White I, Leyrat C, Diaz-Ordaz K, Williamson E.","Trials. 2023 Jan 6;24(1):14. doi: 10.1186/s13063-022-06967-6.","Tackney MS","Trials","2023","2023/01/07","PMC9817411","","10.1186/s13063-022-06967-6"
